"date","namer","latam","america","europe","asiaoc","all_indices"
"04/2009",0.536193502618411,2.96229841238194,3.84468378930577,2.31414298567092,4.56742151534795,11.0631280031523
"05/2009",0.783638497826982,2.48977398175467,3.51935348864531,3.4765549001953,4.68057154811793,11.8267003056332
"06/2009",0.606652556805705,2.33051841269136,3.05657765152414,2.36662678333593,4.30115260816463,9.96029919529241
"07/2009",0.73504247917918,2.81038491737814,3.48888758335361,2.39741936870408,4.8619710827881,10.8023105367297
"08/2009",0.667344335374241,2.75470189769961,3.72113400169976,2.30476935172706,4.50073721671505,10.4603943795777
"09/2009",0.707914337047727,3.18389433848668,4.06751599654293,2.62413736761978,4.70794172180785,11.6281363382227
"10/2009",0.531461565188492,2.43678125339186,3.15455274841806,2.11496565590139,4.94924088257864,10.4167269508881
"11/2009",0.82147160788453,2.76595807770939,4.03072603271505,1.73179434234286,4.29427470583834,10.3088412078429
"12/2009",0.800436168086388,3.65036303242732,4.8411966580503,2.33182531530444,5.46612925882063,12.5301819438621
"01/2010",0.653579808310193,3.29384038934611,4.28173717737628,2.77682320891155,4.45234739823666,11.4245774553826
"02/2010",0.511956403255743,2.40616437616166,3.21948312215201,2.47423279579736,4.38290255620017,10.1244056817111
"03/2010",0.663672255259341,3.75858977293534,4.64013026461149,2.98046703082586,5.06943587769123,12.9081563853143
"04/2010",0.772374628072943,2.7427839202071,3.70248726654837,2.1814276376443,4.49482970552032,10.4797189381904
"05/2010",0.534195169048213,2.25840022627704,3.05351540885393,1.67257574791528,3.74364578840358,8.80216663038238
"06/2010",0.432473488499634,2.19601173842086,2.96050795237294,2.05908788828349,3.77948596611772,9.22959246241488
"07/2010",0.52167020924648,3.25055404250982,4.04596172621714,2.42890536221507,4.78296820678819,11.3942764524259
"08/2010",0.620823278601995,2.68033087013812,3.52596977998831,1.81001952956753,5.09796511435502,10.4419797146406
"09/2010",0.781843676551134,3.52375900179014,4.58842998778346,1.92896047919052,5.07385431222638,11.380650965988
"10/2010",0.784227332383476,3.43523797175208,4.57601010677159,2.97399583491152,5.17409773655686,12.9719480053558
"11/2010",0.618760477761772,2.40783492421303,3.18344462272347,2.41054327169788,5.24446322478192,11.0757348925598
"12/2010",0.912567919037933,3.52692291654253,4.59462872927858,3.31900204736804,5.34265746946874,13.0963273607334
"01/2011",1.04448406270598,3.70214270336843,4.93225102685486,3.52225112623915,5.67896012235451,14.3463344422322
"02/2011",0.752339412818393,3.4229837168251,4.69179545254658,3.89371152798187,4.27749279252442,12.7992849698363
"03/2011",0.769689005605064,3.22954740478532,4.17533237525499,2.81047083670362,3.83770464856241,10.9014554111739
"04/2011",0.913031275501173,2.85240144086448,4.15143007177369,2.31630676289684,4.51597488236499,11.0437408683673
"05/2011",0.955599266452686,3.68780878152843,4.99243188125122,2.74892722194875,4.30847204701261,12.4419251357559
"06/2011",0.617502523102074,3.06619143626829,3.9752107341827,2.43477808864085,4.63696359738782,11.5386469182019
"07/2011",0.713006426906278,3.49848892391302,4.36949328698743,2.3689663220524,3.93607820401711,10.9643638743192
"08/2011",0.420340934332008,1.39301397280218,2.06617144537026,1.96928100083626,3.92739515496128,8.23442620987722
"09/2011",0.654966149561746,2.13551945629301,3.22087254062942,1.85173341486641,3.86555650625056,9.14786510899858
"10/2011",0.692596489491318,2.44055236242283,3.27355967843128,1.97354397271131,3.59297419280243,9.10150759180391
"11/2011",0.405068707634259,2.33333774451932,2.77689687641979,1.74531483495674,3.90158088621028,8.70804594234569
"12/2011",0.604263285996988,3.21662319433474,3.93721500928605,2.78456989355013,4.44111674935043,11.2501134094455
"01/2012",0.667347940040706,3.62964712912119,4.73987213868485,2.79746042253097,5.19792370846396,12.9475093824397
"02/2012",0.938341761677431,3.8953986271311,5.09351195364913,3.11934694443079,4.87905879863958,12.8707221122517
"03/2012",0.587794112755379,2.87786942772312,3.78997657377093,2.40971540903555,4.7625906472116,11.1311950113772
"04/2012",0.650076449873338,3.23645266286096,4.14563347395353,2.36594060197003,5.62794694815596,12.150905541352
"05/2012",0.915304385584929,3.50703116680351,4.80331674299297,2.87975272817323,4.13960329222758,12.1248234433252
"06/2012",0.59467211998476,2.99639705092267,3.59471774471587,2.72836936026088,4.03383424088399,10.5850906243692
"07/2012",0.675726661759365,3.12108949235509,3.89956677610752,2.20335527712559,4.29880218851176,10.4580610911272
"08/2012",0.696075327928948,3.69171252939743,4.63238114421853,2.84762726780177,5.16355624023025,12.8310764971506
"09/2012",0.632424293004105,3.04225584388145,3.88070791155478,2.61378943794712,3.81223303667392,10.6473039675302
"10/2012",0.746227381128422,3.22226014747126,4.30250038220375,2.57630533994886,5.38983669842056,12.5053317671464
"11/2012",0.55125261521293,3.72666098363972,4.55125418763271,2.61582061567923,6.10358170994751,13.3751711315695
"12/2012",1.00113743774111,3.61441502091809,5.38830323636442,4.57280651548444,5.88562469068648,16.2354742882655
"01/2013",0.876649606960299,3.80732961364898,4.94881931471849,4.31365602784201,5.89314552075773,14.7902625799485
"02/2013",0.688478769764107,3.69432233422269,4.51344053732591,2.51574166003562,5.18816026971711,12.3391456013959
"03/2013",0.950898537626626,4.07940923383611,5.44703408065465,3.44085415868643,4.97836376738283,13.6554443221156
"04/2013",0.661711636675861,2.8596764038158,3.60313049815054,2.67333129238989,5.93339033570004,12.4673196745747
"05/2013",0.868380037437219,4.39111323979574,5.98704419687996,2.77555952221698,5.18348643664618,14.2890217910374
"06/2013",0.572943604213357,3.50766118190659,4.27828172136801,2.42341473909572,3.74462873773833,10.7697725038888
"07/2013",1.14410709041097,3.37295044446694,5.26547241912514,3.11357435933825,4.91984776089226,13.3546874160616
"08/2013",0.759442987782126,3.29465640193965,4.59498868022648,3.14224159052313,4.96973624079675,12.8912182364748
"09/2013",0.992563224113363,3.33739456410983,4.92709845849487,3.48051035228913,4.45667861968152,13.3357542449915
"10/2013",0.742683602147546,4.14192343374104,5.18146361638143,3.58014909903198,5.65404732364065,14.3468251257615
"11/2013",0.846590770471658,3.48513776879154,5.09471011307474,3.59847723868899,5.32079618618484,13.7574805758142
"12/2013",0.764151022150289,3.69832824358397,5.18655393215405,2.44040614239248,5.58765277448054,13.2526895290363
"01/2014",0.698590098334122,3.41586279211865,4.55264632946954,3.30022146462962,4.67150558330981,12.6208356252487
"02/2014",0.597928230170846,3.66781333096229,4.51340779380281,3.58158890656684,4.53237404194548,12.606723089414
"03/2014",0.641697957613109,3.21957554026055,4.35074336245953,2.24814510911204,4.85026789243714,11.6246144687788
"04/2014",0.667414993465103,3.85443750596016,5.02074946407969,3.08989256680417,5.90126969685204,14.1871810877419
"05/2014",1.07028059180579,3.80936349181719,5.30441115533445,4.71271617129696,6.03705218300321,15.8420597041894
