Date,ACWI,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1
3/7/01,0.00255,0.006431657,-0.002391202,-0.000313344,0.002118243,0.008802432,0.011655511,0.012455393,0.004332586,0.009214655,0.005673447,0.001518296,-0.001698048,0.004825911,0.003428203,0.003149068,0.005689167,-0.004352582,0.000505579,0.012909881,-0.001865403,0.002845156,-0.010084157,0.000862077,0.024899224,-0.002245763,-0.006223025,0.008542863,0.018165054,0.005003121,0.023727561,-0.011919092,0.006498494,-0.009246734
3/8/01,0.00091,0.00225597,0.002803702,0.002413061,-0.000153094,-0.025129662,-0.008978003,0.004687857,-0.010330569,-8.55E-05,-0.003136306,0.000155592,0.000233236,-0.008243701,-0.006137126,-0.012686832,0.000124948,-0.004942501,-0.019889251,0,-0.004665577,-0.005779846,0.002225722,0.018538408,-0.011509378,-0.005856157,-0.007481778,-0.005525112,0.005751948,-0.003120814,-0.02125886,-0.015710293,0.017562532,-0.004381168
3/9/01,-0.01651,-0.025075769,-0.001033508,-0.001294969,0.00016145,-0.054946771,-0.011257155,-0.014267149,-0.006384536,-0.004661319,-0.000481771,0.007131205,-0.014412397,-0.012911524,-0.010045404,-0.007334295,-0.018715236,-0.000840139,-0.01835513,0,-0.004554731,-0.001792831,-0.00102805,-0.023615993,-0.005370708,-0.033085324,-0.00166705,-0.003649711,9.49E-05,-0.004648078,-0.013475381,0.006071664,0.017259406,0.002740479
3/12/01,-0.03631,-0.044140776,-0.002404346,-0.001470484,-0.002170259,-0.065110917,-0.025546336,-0.050293695,-0.037676925,-0.018978088,-0.023895721,-0.007240117,-0.015463787,-0.023841775,-0.025772426,-0.02412012,-0.02848445,-0.020206481,-0.07200639,-0.036403763,-0.018158943,-0.036822179,-0.029863787,-0.037292426,-0.017359778,-0.043166028,-0.00920427,-0.003205552,0.000894406,-0.025432389,-0.000357079,-0.006071664,0.002939558,0.004914015
3/13/01,-0.00249,0.014719631,-0.004323517,-0.003124711,-0.00372775,0.046425953,0.003675318,0.004781144,0.003656542,-0.009808264,-0.004516428,-0.001105351,-0.018325302,-0.010648976,-0.013927544,0.001694229,0.000130971,-0.009773328,-0.001284479,0.004111563,-0.002598037,-0.029318842,-0.020806955,-0.03183807,0.004954862,-0.027362135,-0.009128621,-0.017002436,-0.0144761,-0.031236786,-0.014751122,-0.011638722,-0.017394961,-0.014815086
3/14/01,-0.02211,-0.026181831,-0.001827116,0.001030597,-0.003696806,-0.021416114,-0.019358226,-0.03017562,-0.02200871,-0.012475171,-0.031353825,-0.007403011,-0.01671024,-0.013855286,-0.028718361,-0.012473778,-0.009764906,-0.015395392,-0.028513156,-0.042601167,-0.021210821,0.002019162,-0.012093108,0.028585377,0.00848557,0.008481548,-0.000439573,-0.000246294,0.014259348,-0.000926607,-0.043710662,-0.009285118,-0.016563526,-0.022925242
3/15/01,0.00793,0.005854127,-0.003760423,-0.00148146,-0.002566288,-0.016040009,0.002072937,-0.003641052,-0.012145031,0.002743654,0.004394246,0.003954571,0.01819497,0.01207807,0.016403898,0.008829214,0.007772299,0.001845262,0.022121653,0.034389916,0.007486747,0.025775272,0.012918379,-0.002672542,0.014828861,-0.006004739,-0.009527458,-0.006458951,0.007585406,-0.001506205,0.005287021,-0.001867414,-0.010685085,0.007887365
3/16/01,-0.02231,-0.019819244,-0.005769903,-0.00203188,-0.003825285,-0.025995691,-0.009104221,0.014713305,0.01162866,-0.001336532,-0.019205348,0.005844415,-0.029474326,-0.01417782,-0.02674869,-0.019855392,-0.017580077,-0.028584823,-0.030387014,0.00532862,-0.023263003,0.006573519,0.00132242,-0.005849161,0.007146934,-0.016545027,-0.005712733,0.002942652,0.002766068,-0.012690505,0.007130824,-0.023960793,-0.006157418,-0.005627477
3/19/01,0.00745,0.017473197,0.001411111,-4.49E-05,-0.00338929,0.031376123,0.020290163,0.009590561,-0.02667873,-5.74E-05,-0.019558408,-0.002434918,-0.002015404,-0.01106442,-0.01355384,-0.004174471,0.000720913,-0.010680136,-0.00909958,0.023442938,-0.011027029,-0.003440069,-0.004770257,-0.008089513,-0.024864267,-0.035776904,-0.01009528,-0.011270547,-0.016903258,-0.029240537,-0.022311381,0.009526906,0.006541001,0.001128032
3/20/01,-0.00662,-0.024372031,0.001284145,0.00173731,-0.000973745,-0.049235122,-0.019735635,-0.028289209,0.004536772,-0.005914325,-0.006373714,0.000646259,0.017002839,0.01763077,0.021832336,-0.003747026,0.014231249,0.009830634,0.024261325,0.002463676,0.004680129,0,-0.017527916,-0.00514111,0.000143559,-0.018398218,-0.013255248,0.004121988,0.022372539,0.005135295,-0.007292299,0.003785493,0.003063376,0.007301352
