"date","prop_mstl_namer","prop_mstl_ameri","prop_mstl_latam","prop_mstl_europ","prop_mstl_asiao","mstl_all"
"02/2014",0.0474293141786331,0.450298537350694,0.402869223172061,0.287817179763899,0.435741953524928,12.606723089414
"03/2014",0.0552016550171681,0.426215261723189,0.371013606706021,0.197913054514828,0.605696773476984,11.6246144687788
"04/2014",0.047043523962753,0.64573217416693,0.598688650204177,0.217794680119641,0.747620369765363,14.1871810877419
"05/2014",0.0675594343027729,0.477260384407046,0.432028984677165,0.527729372701209,0.450376718452628,15.8420597041894
"06/2014",0.0657866179682492,0.623632343709565,0.509192387741224,0.29382433801111,0.641103046321524,15.790714108201
"07/2014",0.175275431108751,0.516485482205586,0.501328065129299,0.383113488933449,0.57821508661285,14.25820303536
"08/2014",0.110221865987037,0.656439276448536,0.431349740473368,0.23912223030535,0.549626374917274,13.6657868337047
"09/2014",0.0618227436594502,0.596770075214906,0.534947331555456,0.332063606644983,0.561010459033065,15.2214618616171
"10/2014",0.0522102823156777,0.506418290339386,0.506418290339386,0.191467962259158,0.474229280536819,12.1901618612986
"11/2014",0.151547216637086,0.577065357212076,0.500541276861073,0.286305016971457,0.726755114745519,15.211205538065
"12/2014",0.0666255945751145,0.396027415642043,0.396027415642043,0.282036980436983,0.683991862610222,11.719490734269
"01/2015",0.0563548121448493,0.336671901099493,0.32030698490079,0.394251910114899,0.357861845695605,12.0420777945286
"02/2015",0.0532683562540268,0.446249889098668,0.426156380251091,0.474660305515154,0.574429013606859,15.0551435244676
"03/2015",0.243336666625456,0.50722869098463,0.304281138555343,0.243375183646451,0.521257039988035,14.3382913992676
"04/2015",0.0672312603909528,0.375629094934606,0.262110638922686,0.284541407409614,0.607856673092725,13.8207443193663
"05/2015",0.0424196283991934,0.372599195724401,0.286938804980018,0.391601536200151,0.729824403342868,14.1041953513422
"06/2015",0.0546622300758464,0.759529447124734,0.704867217048888,0.319378452070361,0.463114105077721,11.9113810220159
"07/2015",0.113449324259793,0.396774394429716,0.396774394429716,0.203306124598803,0.700551907615491,11.8321538071491
