"","block","america","europe","asia","commodities","bonds","all_indices"
"101",101,4.30574457297922,3.63186642915606,4.76830177294835,2.04981431321315,0.816203203893075,16.9478952439059
"102",102,4.18749802664268,3.54211315240007,4.79264625208871,2.08754939515342,0.860729077804716,16.8602454460384
"103",103,3.60365952784983,2.65030835724658,4.19929137213811,1.99187633740448,0.968201509035314,14.6523497647414
"104",104,3.67227160941196,2.68544095643274,4.19414581731105,2.16323709529078,1.12619284796336,14.9889185965987
"105",105,3.41729595864949,2.57231883360768,4.13189688059657,1.97436496795865,1.11977886414274,14.5083053054522
"106",106,3.13394364434955,2.52936625417421,3.83290006015494,1.98672437433257,1.05316738941501,13.8606545147885
"107",107,2.93521377649422,2.28970829364073,3.51116996134471,1.9033086327473,0.995069982752262,12.7865610789048
"108",108,2.96695660899422,2.33500264892253,3.66405842742872,1.95506572991242,0.951759347752037,12.9784441793217
"109",109,2.85017728336991,2.28760672805016,3.77802016145977,1.95602175269262,0.97767906419549,12.9281855303754
"110",110,2.87498416365467,2.24922779204565,3.86812535678705,1.92028204922662,0.975175440481477,12.9156929096705
"111",111,2.94212466571308,2.49049787550303,4.09892019514257,1.89649231190324,0.943221155043999,13.7625419691103
"112",112,2.74479151580582,2.33203510338567,3.92346602742069,1.88973723652592,0.902838576643033,13.1110520228112
"113",113,3.00422818688968,2.47096584595014,4.03536906738737,2.21362844725622,0.88882115524967,13.9643779318119
"114",114,3.1587326474099,2.55859812243871,4.35780871839192,2.21189625111557,0.914056641632482,14.7576093344762
"115",115,3.79413820978765,2.99693298960701,4.9752420260508,2.33614511264174,1.05826780214114,16.680995697931
"116",116,3.86983257251389,2.86945455398037,5.02386916351215,2.31065021425681,1.13153939391294,16.6349075968845
"117",117,3.81365536900629,2.76321791025734,4.88811804654337,2.33262948519818,1.11811739155253,16.1746029083828
"118",118,3.63609742816746,2.85286024395476,4.74485471368536,2.33105099115685,1.17035154094182,16.2705758774311
"119",119,3.7576225786087,2.86536869804133,5.00806277073018,2.33727130743554,1.13714814126653,16.4307380760395
"120",120,4.28362484496597,3.27106844090436,5.39602954871937,2.32657321934925,1.1353107710266,17.92445363919
"121",121,4.1402892890116,2.95982887176934,5.45483453029831,2.40576864517137,1.18708089241218,17.5525964531194
"122",122,4.19402097845536,2.89893335278808,5.25543081317089,2.42313232894383,1.18212506368787,17.1948437722646
"123",123,4.19524097939761,2.79499457969072,5.07451819219055,2.42905036045686,1.04149121114704,16.7953460379671
"124",124,4.31803349025804,2.99183429916544,4.9858263052256,2.44926411728789,0.971797717473438,16.9707429239734
"125",125,4.38648584921222,3.16104709220577,4.93212220866557,2.45724775775473,0.947481382828263,17.4957586631841
"126",126,4.47716229160818,3.17065171293486,4.86791027262299,2.44322670941885,0.867048890363023,17.3423479246854
"127",127,4.47727326877026,3.02913242177346,4.83391333458193,2.51172862970521,0.843161373275817,17.2029243565697
"128",128,4.44347686814625,2.82513247691986,4.80364230343227,2.52252679074027,0.83156663391803,16.9469063123384
"129",129,4.58034342457495,3.00941490274733,4.88948303040743,2.5956953160399,0.814270812758843,17.2743039861442
"130",130,4.59144310192177,3.08595026303388,4.85530366649411,2.58100732126313,0.778072005321035,17.4896286391715
"131",131,4.78875248337264,3.02259356205528,5.1739094907881,2.65257458862356,0.86374842983015,18.1113686590855
"132",132,4.70811831210597,3.15927963831859,5.32581650156521,2.7033212784379,0.868411325903129,18.3374353021445
"133",133,4.69000203821234,3.39322722089034,5.51155378453036,2.6779552992452,0.920519053588539,18.7425511691244
