Date,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1 
9/14/01,0.006206638,0.019931147,0.009984434,-0.013651595,0.004540249,-0.067056355,-0.055145911,-0.199938491,-0.06583978,-0.120506668,-0.022635713,-0.064056007,-0.121263315,-0.139189883,-0.111516476,-0.138877253,-0.130678558,-0.054584686,-0.076081162,-0.10565367,-0.04949933,-0.072762897,-0.140566655,-0.130817507,-0.04176307,-0.077761764,-0.042152243,-0.055091031,-0.096422221,0.052131331,0.013709278,0.04439605,0.016573488
9/21/01,-0.123303766,-0.003389111,-0.005127173,-0.03332704,-0.175006144,-0.056374305,-0.083499213,0.037587878,-0.035670501,-0.105055668,-0.066591958,-0.070109446,-0.067893743,-0.083242078,-0.061674103,-0.147035176,-0.073617516,-0.062133624,-0.044510941,-0.096568826,-0.046410167,-0.077635914,-0.020910043,-0.049632325,-0.026727617,-0.058494524,-0.052605516,-0.037059901,-0.125917978,-0.12846467,-0.006069821,0.020451319,-0.003718464
9/28/01,0.074922657,-0.00473563,0.000303938,-0.011907062,0.051764027,0.048757044,0.06017941,0.02061296,-0.030532911,0.016768843,0.017041633,0.100694327,0.110343576,0.128873696,0.118234327,0.193619231,0.135815963,0.073143645,-0.018795893,0.162884791,0.022731838,0.107756291,0.015483665,0.012475279,-0.054413811,0.012148116,0.035918177,0.024171844,0.0696738,-0.102924773,-0.007639457,0.006157023,-0.040179129
10/5/01,0.028823386,0.005515482,0.007613857,-0.00777983,0.068645867,0.008109097,0.022873131,-0.042119604,-0.03545903,-0.125289066,-0.041696455,0.026683295,0.020801839,0.040829515,-0.019982299,0.002376402,0.007069495,0.030239764,-0.019551896,-0.00990898,0.043167676,0.032302463,0.04532153,-0.014255891,-0.02814154,-0.010356693,0.04161843,0.021705116,0.048725645,-0.045402822,-0.017795441,-0.00770222,0.002213615
10/12/01,0.018742776,-0.011395049,-0.008307663,0.009173749,0.059315599,0.01964693,0.025457527,0.056029893,0.036079495,0.080876496,-0.029747913,0.02151043,0.04049657,0.030166386,0.052150054,0.042793219,0.034468748,0.030744483,0.076904466,0.014090259,0.040938195,-0.000316278,0.028440915,0.058508947,-0.007866536,0.003802286,0.014355095,0.00760752,0.01917868,0.004900879,0,-0.022765776,-0.037740328
10/19/01,-0.016784606,0.000147172,0.00276779,0.011064279,-0.019018444,-0.017224653,-0.014720502,0.049462318,0.025933597,0.08315151,0.002853144,-0.025150845,-0.01673876,-0.024424926,0.004965739,-0.011735979,-0.060017138,-0.00758785,0.000471365,0.005103342,-0.008838505,-0.044613435,0.022290379,0.011539113,0.024154024,0.006034234,-0.015511686,-0.001413719,-0.017671892,-0.030230139,-0.026900356,-0.01701867,-0.024994036
10/26/01,0.028586624,-0.002344909,0.00047254,0.000538952,0.056783993,0.013504202,0.018595828,0.038858929,0.032941552,-0.051798595,0.016413827,0.033492229,0.048900761,0.065748316,0.047291595,0.058387821,0.059361698,0.04655433,0.041588273,0.030244927,0.02403515,0.057245821,0.028692061,0.050193127,-8.25087E-05,-0.004252795,0.031259617,0.024901779,0.018062971,0.00911999,0.018276234,-0.008258575,0.004111606
11/2/01,-0.015886748,0.016812562,0.011574152,-0.006366451,-0.013218997,0.002715826,-0.010658875,-0.033908079,-0.019426498,-0.077335503,-0.014551351,-0.011455742,-0.024691497,-0.050406424,-0.035921436,-0.040016248,-0.009904859,-0.038846076,0.022007296,-0.02124148,-0.038852912,-0.021241353,0.013090006,-0.011213676,-0.0186609,-0.026071316,-0.011218397,0.024605312,-0.055867057,-0.087713146,-0.033630071,0.009330769,0.016279429
11/9/01,0.029999849,0.00193649,0.004925902,0.015673449,0.046312214,0.026097369,-0.006479593,0.1114737,0.054182717,0.025996229,0.012386436,0.022114554,0.032619984,0.068866754,0.068519515,0.02993096,0.043287393,0.053953859,0.100513884,0.034625043,-0.016318242,0.040706143,0.046454792,0.03085593,-0.008738934,0.004681891,0.01413621,-0.01041845,0.024461374,0.096300769,0.043034529,-0.008970279,0.018852315
11/16/01,0.016237917,-0.024147605,-0.021970212,0.001597306,0.037621218,0.014542091,0.020529794,0.011877456,0.031751828,-0.038979019,0.018398787,0.008884522,0.016045911,0.030599888,0.037549314,0.023520891,0.03178897,0.057325988,-0.056254408,0.034716023,0.041547711,0.061958139,0.057491643,0.075374039,0.003518476,0.058100501,0.011038319,0.032623863,0.041562651,-0.208955747,0.062000201,-0.009415242,0.024043652
11/23/01,0.010214201,-0.010988536,-0.006105991,0.006184236,0.002430442,0.015884812,0.00392056,0.04113908,0.009389323,-0.029572917,-0.002300615,0.000415752,-0.002942874,0.01729696,-0.000574164,0.015918559,0.003876357,0.006596826,0.059271537,-0.016308997,0.004472059,0.00309513,0.054628807,0.016164176,0.010596731,0.006620463,0.003130697,-0.010867723,0.023404473,0.05029446,-0.007358385,-0.007120067,-0.002766253
11/30/01,-0.009511861,0.015859181,0.014212442,0.003943329,0.014283796,-0.000912635,0.016931989,-0.037351286,-0.028558036,-0.051878453,-0.00409453,-0.017072303,-0.021605481,-0.031767173,-0.019768168,-0.026370257,-0.027901898,-0.007147533,0.003405501,-0.034944214,5.79595E-05,-0.003814777,-0.002001444,-0.017401836,-0.006280394,-0.002363901,0.001361548,0.033140903,0.011747997,0.025001302,0.064353866,0.005481468,-0.015071455
