Dates,SPX ,CCMP ,SPTSX ,MEXBOL ,IBOV ,IPSA ,MERVAL ,SPBLPGPT ,IGBC,UKX ,CAC ,DAX ,IBEX ,FTSEMIB ,AEX ,OMX ,RTSI$ ,SMI ,NKY ,HSI ,KOSPI ,TWSE ,JCI ,FBMKLCI ,STI ,ASX ,NZSE 
03-06-01,0.009931109,0.028299587,0.01303921,0.023103666,-0.012957593,0.009199495,-0.018430442,0.003168585,NA,0.013514059,0.016340489,0.010828525,0.020838131,0.020132438,0.014599778,0.026658867,0.055390253,0.004973367,0.029236905,0.013058098,0.004887397,0.004503423,0.012571801,0,0,0.012223075,0.010469984
03-07-01,0.006431657,0.008802432,0.011655511,0.012455393,0.004333814,0.009214655,0.005673447,0.001518296,NA,-0.001698048,0.004825911,0.003428203,0.003149068,0.005689167,-0.004352582,0.000505579,0.012937945,-0.001865403,0.002845156,-0.010084157,0.000862077,0.024899224,-0.002245763,-0.006223025,0.005003121,-0.001223191,0.018165054
03-08-01,0.00225597,-0.025129662,-0.008978003,0.004687857,-0.010330575,-8.1015E-05,-0.003136306,0.000155592,NA,0.000233236,-0.008243701,-0.006137126,-0.012686832,0.000124948,-0.004942501,-0.019889251,0,-0.004665577,-0.005779846,0.002225722,0.018538408,-0.011509378,-0.005856157,-0.007481778,-0.003120814,-0.000306894,0.005751948
03-09-01,-0.025075769,-0.054946771,-0.011257155,-0.014267149,-0.006386401,-0.004664916,-0.000481771,0.007131205,NA,-0.014412397,-0.012911524,-0.010045404,-0.007334295,-0.018715236,-0.000840139,-0.01835513,0,-0.004554731,-0.001792831,-0.00102805,-0.023615993,-0.005370708,-0.033085324,-0.00166705,-0.004648078,-0.013066182,9.49082E-05
03-12-01,-0.044140776,-0.065110917,-0.025546336,-0.050293695,-0.037671868,-0.018981758,-0.023895721,-0.007240117,NA,-0.015463787,-0.023841775,-0.025772426,-0.02412012,-0.02848445,-0.020206481,-0.07200639,-0.03639227,-0.018158943,-0.036822179,-0.029863787,-0.037292426,-0.017359778,-0.043166028,-0.00920427,-0.025432389,-0.015348109,0.000894406
03-13-01,0.014719631,0.046425953,0.003675318,0.004781144,0.003651399,-0.009809222,-0.004516428,-0.001105351,NA,-0.018325302,-0.010648976,-0.013927544,0.001694229,0.000130971,-0.009773328,-0.001284479,0.004128683,-0.002598037,-0.029318842,-0.020806955,-0.03183807,0.004954862,-0.027362135,-0.009128621,-0.031236786,-0.018199995,-0.0144761
03-14-01,-0.026181831,-0.021416114,-0.019358226,-0.03017562,-0.022006143,-0.012466735,-0.031353825,-0.007403011,NA,-0.01671024,-0.013855286,-0.028718361,-0.012473778,-0.009764906,-0.015395392,-0.028513156,-0.042611864,-0.021210821,0.002019162,-0.012093108,0.028585377,0.00848557,0.008481548,-0.000439573,-0.000926607,-0.016911727,0.014259348
03-15-01,0.005854042,-0.016040009,0.002072937,-0.003641052,-0.012143039,0.002738941,0.004394246,0.003954571,NA,0.01819497,0.01207807,0.016403898,0.008829214,0.007772299,0.001845262,0.022121653,0.03439508,0.007486747,0.025775272,0.012918379,-0.002672542,0.014828861,-0.006004739,-0.009527458,-0.001506205,0.016315348,0.007585406
03-16-01,-0.019819158,-0.025995691,-0.009104221,0.014713305,0.011624699,-0.001335591,-0.019205348,0.005844415,NA,-0.029474326,-0.01417782,-0.02674869,-0.019855392,-0.017580077,-0.028584823,-0.030387014,0.005294062,-0.023263003,0.006573519,0.00132242,-0.005849161,0.007146934,-0.016545027,-0.005712733,-0.012690505,-0.025515568,0.002766068
03-19-01,0.017473111,0.031376123,0.020290163,0.009590561,-0.026676761,-5.64727E-05,-0.019558408,-0.002434918,NA,-0.002015404,-0.01106442,-0.01355384,-0.004174471,0.000720913,-0.010680136,-0.00909958,0.023482447,-0.011027029,-0.003440069,-0.004770257,-0.008089513,-0.024864267,-0.035776904,-0.01009528,-0.029240537,-0.002752106,-0.016903258
03-20-01,-0.024371946,-0.049235122,-0.019735635,-0.028289209,0.004539456,-0.005919048,-0.006373714,0.000646259,NA,0.017002839,0.01763077,0.021832336,-0.003747026,0.014231249,0.009830634,0.024261325,0.002407683,0.004680129,0,-0.017527916,-0.00514111,0.000143559,-0.018398218,-0.013255248,0.005135295,0.014169549,0.022372539
03-21-01,-0.018086295,-0.014757554,-0.01180146,0,-0.003407708,-0.004307857,-0.008304981,-0.010005286,NA,-0.018968166,-0.02256309,-0.028073834,-0.034988251,-0.011299555,-0.019998658,-0.033690354,-0.022338136,-0.014594638,0.072217435,-0.005263429,0.001879382,-0.003422655,0.023649399,0.025179185,-0.005232119,-0.018818128,-0.012250336
03-22-01,-0.004071943,0.036200985,2.60906E-05,-0.023355129,-0.054328712,-0.010976513,-0.05759823,-0.001754766,NA,-0.041625465,-0.040405229,-0.04252551,-0.042228445,-0.045099145,-0.04491725,-0.034137804,-0.009480923,-0.057803847,-0.019260235,-0.041329905,-0.010456477,0.018941291,-0.016095789,-0.00558565,-0.025088834,-0.039339242,-0.02708027
03-23-01,0.019713495,0.016193205,-0.003384408,-0.003164776,0.025809786,0.002419821,0.060327636,0.002760597,NA,0.016329407,0.025842405,0.028659135,0.032143833,0.029651509,0.021285726,0.021587927,0.004550568,0.024358647,0.027665025,-0.003054133,0.020507376,0.01207143,0.022569405,-0.000328662,0.017846091,0.014020571,0.009923688
