"","block","qt"
"309",309,0.126515151515152
"310",310,0.125
"311",311,0.131060606060606
"312",312,0.134090909090909
"313",313,0.168181818181818
"314",314,0.156060606060606
"315",315,0.184090909090909
"316",316,0.179545454545455
"317",317,0.175
"318",318,0.223484848484848
"319",319,0.221212121212121
"320",320,0.184848484848485
"321",321,0.184848484848485
"322",322,0.123484848484848
"323",323,0.104545454545455
"324",324,0.0568181818181818
"325",325,0.109848484848485
"326",326,0.0484848484848485
"327",327,0.0810606060606061
"328",328,0.0946969696969697
"329",329,0.0787878787878788
"330",330,0.101515151515152
"331",331,0.0484848484848485
"332",332,0.0863636363636364
"333",333,-0.028030303030303
"334",334,0.0575757575757576
"335",335,0.0166666666666667
"336",336,0.0348484848484849
"337",337,0.0356060606060606
"338",338,0.0696969696969697
"339",339,0.125
"340",340,0.146969696969697
"341",341,0.247727272727273
"342",342,0.216666666666667
"343",343,0.181060606060606
"344",344,0.200757575757576
"345",345,0.151515151515152
"346",346,0.108333333333333
